name,reading,meaning
代案,だいあん,ある案の代わりに出す案。
第一,だいいち,１ 順序のいちばんはじめ。最初。２ 最もすぐれていること。３ 最も重要であること。
代員,だいいん,他人の代わりにその業務をする人。代人。代理人。
代価,だいか,１ 商品の値段。代金。２ ある事柄を成し遂げるために生じた犠牲や損害。
大学,だいがく,１ 高等教育の中核をなす教育機関。学術の中心として、広く知識を授けるとともに、深く専門の学芸を教授研究することなどを目的とする。修業年限は4年を原則とするが、2年ないし3年の短期大学もある。大学は、学部のほかに大学院、研究所・付属病院などを設置することができる。日本では、明治以後設立。明治19年（1886）の帝国大学令、大正7年（1918）の大学令などにより規定され、第二次大戦後は、学校教育法に基づいて設置され、今日に至っている。２ 「大学寮」の略。３ 俗に、社会人を対象にした教養講座のこと。
大吉,だいきち,１ 縁起や運勢がこの上なくよいこと。非常にめでたいこと。２ 「大吉日」の略。
代休,だいきゅう,日曜・祭日などの休日に出勤した代わりにとる休暇。
大凶,だいきょう,１ （大凶）縁起や運勢がこの上なく悪いこと。２ この上もなく大きな罪悪。また、大悪人。
代金,だいきん,品物の買い手が売り手に支払う金。代価。
大工,だいく,１ 主として木造の家屋などを建てたり、修理したりする職人。また、その仕事。２ 律令制で、木工寮(もくりょう)・修理職(しゅりしき)・大宰府などに属し、諸種の造営に従った職。おおたくみ。おおきたくみ。３ 中世、木工職人の長。４ 塩田の中で、塩水を煮つめて、塩を取り出す釜屋［かまや］で働く人のことです。その中でも、日中に働く人を「大工」と言います。建物をつくる「大工」とは全く関係がありません。また、夜勤の人を「老僧［ろうそう］」と呼んでいました。
代行,だいこう,当事者に支障があるときなどに、代わってその職務を行うこと。また、その人。
題材,だいざい,創作や研究などの主題となるもの。
題作,だいさく,与えられた題によって詩歌や文章を作ること。また、その作品。
台紙,だいし,物を置いたり、写真・図画や印刷用の版下などを貼りつけたりするための紙。
大事,だいじ,１ 重大な事柄。容易でない事件。２ 大がかりな仕事。大規模な計画。３ たいへんな結果。非常に心配な事態。４ 出家して悟りを開くこと。５ 価値あるものとして、大切に扱うさま。６ 重要で欠くことのできないさま。ある物事の存否にかかわるさま。
題字,だいじ,１ 書物の表題の文字。２ 書物の巻頭や画幅・石碑の上部に書き記す文字。題辞の文字。
代車,だいしゃ,修理や車検などに出した自動車の代わりとして使う車。
台車,だいしゃ,１ 鉄道車両の車体を支えて走行する装置。台枠・車軸・車輪などからなる。２ 荷台に車輪と取っ手をつけた、運搬用の手押し車。
代償,だいしょう,１ 本人に代わってつぐなうこと。代弁。２ 他人に与えた損害に対して、金品や労力でつぐないをすること。３ 目的を達するために、犠牲にしたり失ったりするもの。４ 欲求などが満たされないとき、代わりのもので欲求を満たそうとすること。５ 星新一のショートショート作品。ひとにぎりの未来に収録。
大小,だいしょう,１ 大きいことと小さいこと。大きいものと小さいもの。２ 大刀(だいとう)と小刀。３ 大鼓(おおつづみ)と小鼓。４ 大の月と小の月。
代診,だいしん,担当の医師に代わって診察すること。また、その人。
台数,だいすう,自動車や機械などの数。
大卒,だいそつ,大学を卒業していること。また、その人。
代替,だいたい,それに見合う他のもので代えること。かわり。
大体,だいたい,１ 物事の要点、また数量などを、大づかみにとらえるさま。あらかた。おおよそ。２ もとはと言えば。そもそも。３ 細かい点を除いた主要な部分。また、全体を大づかみにしたところ。あらまし。おおよそ。
代代,だいだい,何代も続いていること。よよ。また、歴代。副詞的にも用いる。
大胆,だいたん,１ 度胸がすわっていること。思い切りよくやってのけること。また、そのさま。２ 図太いこと。ずうずうしいこと。また、そのさま。
台地,だいち,表面が比較的平らで、周囲より一段と高い地形。ほぼ水平な地層からなる。
